distrito,periodo,precio_m2,num_compraventas,importe_medio,fecha_extraccion
Centro,2014,2.083,,,2026-02-28T09:40:22.540873
Centro,2015,2.224,,,2026-02-28T09:40:22.540873
Centro,2016,2.616,,,2026-02-28T09:40:22.540873
Centro,2017,3.055,,,2026-02-28T09:40:22.540873
Centro,2018,3.741,,,2026-02-28T09:40:22.540873
Centro,2019,3.866,,,2026-02-28T09:40:22.540873
Centro,2020,3.784,,,2026-02-28T09:40:22.540873
Centro,2021,3.676,,,2026-02-28T09:40:22.540873
Centro,2022,4.028,,,2026-02-28T09:40:22.540873
Centro,2023,3.935,,,2026-02-28T09:40:22.540873
Centro,2024,4.754,,,2026-02-28T09:40:22.540873
Centro,2025,5.349,,,2026-02-28T09:40:22.540873
Arganzuela,2014,2.156,,,2026-02-28T09:42:04.443517
Arganzuela,2015,2.212,,,2026-02-28T09:42:04.443517
Arganzuela,2016,2.599,,,2026-02-28T09:42:04.443517
Arganzuela,2017,2.84,,,2026-02-28T09:42:04.443517
Arganzuela,2018,3.299,,,2026-02-28T09:42:04.443517
Arganzuela,2019,3.618,,,2026-02-28T09:42:04.443517
Arganzuela,2020,3.596,,,2026-02-28T09:42:04.443517
Arganzuela,2021,3.568,,,2026-02-28T09:42:04.443517
Arganzuela,2022,3.951,,,2026-02-28T09:42:04.443517
Arganzuela,2023,4.029,,,2026-02-28T09:42:04.443517
Arganzuela,2024,4.41,,,2026-02-28T09:42:04.443517
Arganzuela,2025,5.228,,,2026-02-28T09:42:04.443517
Retiro,2014,2.527,,,2026-02-28T09:43:40.976459
Retiro,2015,2.753,,,2026-02-28T09:43:40.976459
Retiro,2016,2.749,,,2026-02-28T09:43:40.976459
Retiro,2017,3.216,,,2026-02-28T09:43:40.976459
Retiro,2018,3.684,,,2026-02-28T09:43:40.976459
Retiro,2019,3.984,,,2026-02-28T09:43:40.976459
Retiro,2020,3.856,,,2026-02-28T09:43:40.976459
Retiro,2021,3.842,,,2026-02-28T09:43:40.976459
Retiro,2022,4.232,,,2026-02-28T09:43:40.976459
Retiro,2023,4.426,,,2026-02-28T09:43:40.976459
Retiro,2024,4.75,,,2026-02-28T09:43:40.976459
Retiro,2025,5.664,,,2026-02-28T09:43:40.976459
Salamanca,2014,4.166,,,2026-02-28T09:45:17.495680
Salamanca,2015,4.996,,,2026-02-28T09:45:17.495680
Salamanca,2016,5.364,,,2026-02-28T09:45:17.495680
Salamanca,2017,5.926,,,2026-02-28T09:45:17.495680
Salamanca,2018,6.623,,,2026-02-28T09:45:17.495680
Salamanca,2019,7.265,,,2026-02-28T09:45:17.495680
Salamanca,2020,6.681,,,2026-02-28T09:45:17.495680
Salamanca,2021,7.188,,,2026-02-28T09:45:17.495680
Salamanca,2022,8.459,,,2026-02-28T09:45:17.495680
Salamanca,2023,9.19,,,2026-02-28T09:45:17.495680
Salamanca,2024,10.56,,,2026-02-28T09:45:17.495680
Salamanca,2025,11.891,,,2026-02-28T09:45:17.495680
Chamartín,2014,2.634,,,2026-02-28T09:46:53.960088
Chamartín,2015,3.21,,,2026-02-28T09:46:53.960088
Chamartín,2016,3.141,,,2026-02-28T09:46:53.960088
Chamartín,2017,3.692,,,2026-02-28T09:46:53.960088
Chamartín,2018,4.242,,,2026-02-28T09:46:53.960088
Chamartín,2019,4.476,,,2026-02-28T09:46:53.960088
Chamartín,2020,4.454,,,2026-02-28T09:46:53.960088
Chamartín,2021,4.445,,,2026-02-28T09:46:53.960088
Chamartín,2022,4.879,,,2026-02-28T09:46:53.960088
Chamartín,2023,5.408,,,2026-02-28T09:46:53.960088
Chamartín,2024,5.596,,,2026-02-28T09:46:53.960088
Chamartín,2025,6.84,,,2026-02-28T09:46:53.960088
Tetuán,2014,2.348,,,2026-02-28T09:48:30.382541
Tetuán,2015,2.387,,,2026-02-28T09:48:30.382541
Tetuán,2016,2.809,,,2026-02-28T09:48:30.382541
Tetuán,2017,3.08,,,2026-02-28T09:48:30.382541
Tetuán,2018,3.662,,,2026-02-28T09:48:30.382541
Tetuán,2019,3.923,,,2026-02-28T09:48:30.382541
Tetuán,2020,3.913,,,2026-02-28T09:48:30.382541
Tetuán,2021,3.846,,,2026-02-28T09:48:30.382541
Tetuán,2022,4.165,,,2026-02-28T09:48:30.382541
Tetuán,2023,4.322,,,2026-02-28T09:48:30.382541
Tetuán,2024,4.895,,,2026-02-28T09:48:30.382541
Tetuán,2025,5.592,,,2026-02-28T09:48:30.382541
Chamberí,2014,3.451,,,2026-02-28T09:50:06.939816
Chamberí,2015,3.666,,,2026-02-28T09:50:06.939816
Chamberí,2016,4.074,,,2026-02-28T09:50:06.939816
Chamberí,2017,4.472,,,2026-02-28T09:50:06.939816
Chamberí,2018,5.322,,,2026-02-28T09:50:06.939816
Chamberí,2019,5.516,,,2026-02-28T09:50:06.939816
Chamberí,2020,5.851,,,2026-02-28T09:50:06.939816
Chamberí,2021,5.523,,,2026-02-28T09:50:06.939816
Chamberí,2022,6.266,,,2026-02-28T09:50:06.939816
Chamberí,2023,6.93,,,2026-02-28T09:50:06.939816
Chamberí,2024,7.961,,,2026-02-28T09:50:06.939816
Chamberí,2025,8.793,,,2026-02-28T09:50:06.939816
Fuencarral-El Pardo,2014,2.143,,,2026-02-28T09:51:43.391598
Fuencarral-El Pardo,2015,2.306,,,2026-02-28T09:51:43.391598
Fuencarral-El Pardo,2016,2.411,,,2026-02-28T09:51:43.391598
Fuencarral-El Pardo,2017,2.56,,,2026-02-28T09:51:43.391598
Fuencarral-El Pardo,2018,2.71,,,2026-02-28T09:51:43.391598
Fuencarral-El Pardo,2019,2.873,,,2026-02-28T09:51:43.391598
Fuencarral-El Pardo,2020,3.047,,,2026-02-28T09:51:43.391598
Fuencarral-El Pardo,2021,3.127,,,2026-02-28T09:51:43.391598
Fuencarral-El Pardo,2022,3.208,,,2026-02-28T09:51:43.391598
Fuencarral-El Pardo,2023,3.713,,,2026-02-28T09:51:43.391598
Fuencarral-El Pardo,2024,3.672,,,2026-02-28T09:51:43.391598
Fuencarral-El Pardo,2025,4.502,,,2026-02-28T09:51:43.391598
Moncloa-Aravaca,2014,2.525,,,2026-02-28T09:53:19.897162
Moncloa-Aravaca,2015,2.758,,,2026-02-28T09:53:19.897162
Moncloa-Aravaca,2016,2.916,,,2026-02-28T09:53:19.897162
Moncloa-Aravaca,2017,3.281,,,2026-02-28T09:53:19.897162
Moncloa-Aravaca,2018,3.185,,,2026-02-28T09:53:19.897162
Moncloa-Aravaca,2019,3.902,,,2026-02-28T09:53:19.897162
Moncloa-Aravaca,2020,3.539,,,2026-02-28T09:53:19.897162
Moncloa-Aravaca,2021,3.535,,,2026-02-28T09:53:19.897162
Moncloa-Aravaca,2022,3.915,,,2026-02-28T09:53:19.897162
Moncloa-Aravaca,2023,3.217,,,2026-02-28T09:53:19.897162
Moncloa-Aravaca,2024,5.0,,,2026-02-28T09:53:19.897162
Moncloa-Aravaca,2025,5.314,,,2026-02-28T09:53:19.897162
Latina,2014,2.424,,,2026-02-28T09:54:56.514586
Latina,2015,2.442,,,2026-02-28T09:54:56.514586
Latina,2016,2.739,,,2026-02-28T09:54:56.514586
Latina,2017,3.202,,,2026-02-28T09:54:56.514586
Latina,2018,3.594,,,2026-02-28T09:54:56.514586
Latina,2019,3.765,,,2026-02-28T09:54:56.514586
Latina,2020,3.877,,,2026-02-28T09:54:56.514586
Latina,2021,3.773,,,2026-02-28T09:54:56.514586
Latina,2022,4.348,,,2026-02-28T09:54:56.514586
Latina,2023,4.357,,,2026-02-28T09:54:56.514586
Latina,2024,5.279,,,2026-02-28T09:54:56.514586
Latina,2025,5.552,,,2026-02-28T09:54:56.514586
Carabanchel,2014,1.122,,,2026-02-28T09:56:32.975716
Carabanchel,2015,1.084,,,2026-02-28T09:56:32.975716
Carabanchel,2016,1.23,,,2026-02-28T09:56:32.975716
Carabanchel,2017,1.359,,,2026-02-28T09:56:32.975716
Carabanchel,2018,1.588,,,2026-02-28T09:56:32.975716
Carabanchel,2019,1.753,,,2026-02-28T09:56:32.975716
Carabanchel,2020,1.751,,,2026-02-28T09:56:32.975716
Carabanchel,2021,1.798,,,2026-02-28T09:56:32.975716
Carabanchel,2022,1.911,,,2026-02-28T09:56:32.975716
Carabanchel,2023,1.994,,,2026-02-28T09:56:32.975716
Carabanchel,2024,2.271,,,2026-02-28T09:56:32.975716
Carabanchel,2025,2.741,,,2026-02-28T09:56:32.975716
Usera,2014,1.095,,,2026-02-28T09:58:09.510463
Usera,2015,1.073,,,2026-02-28T09:58:09.510463
Usera,2016,1.257,,,2026-02-28T09:58:09.510463
Usera,2017,1.452,,,2026-02-28T09:58:09.510463
Usera,2018,1.644,,,2026-02-28T09:58:09.510463
Usera,2019,1.816,,,2026-02-28T09:58:09.510463
Usera,2020,2.039,,,2026-02-28T09:58:09.510463
Usera,2021,1.953,,,2026-02-28T09:58:09.510463
Usera,2022,2.017,,,2026-02-28T09:58:09.510463
Usera,2023,2.123,,,2026-02-28T09:58:09.510463
Usera,2024,2.329,,,2026-02-28T09:58:09.510463
Usera,2025,3.015,,,2026-02-28T09:58:09.510463
Puente de Vallecas,2014,1.052,,,2026-02-28T09:59:45.958467
Puente de Vallecas,2015,1.041,,,2026-02-28T09:59:45.958467
Puente de Vallecas,2016,1.092,,,2026-02-28T09:59:45.958467
Puente de Vallecas,2017,1.242,,,2026-02-28T09:59:45.958467
Puente de Vallecas,2018,1.415,,,2026-02-28T09:59:45.958467
Puente de Vallecas,2019,1.59,,,2026-02-28T09:59:45.958467
Puente de Vallecas,2020,1.656,,,2026-02-28T09:59:45.958467
Puente de Vallecas,2021,1.668,,,2026-02-28T09:59:45.958467
Puente de Vallecas,2022,1.778,,,2026-02-28T09:59:45.958467
Puente de Vallecas,2023,1.918,,,2026-02-28T09:59:45.958467
Puente de Vallecas,2024,2.069,,,2026-02-28T09:59:45.958467
Puente de Vallecas,2025,2.428,,,2026-02-28T09:59:45.958467
Moratalaz,2014,1.524,,,2026-02-28T10:01:22.432972
Moratalaz,2015,1.634,,,2026-02-28T10:01:22.432972
Moratalaz,2016,1.808,,,2026-02-28T10:01:22.432972
Moratalaz,2017,1.967,,,2026-02-28T10:01:22.432972
Moratalaz,2018,2.216,,,2026-02-28T10:01:22.432972
Moratalaz,2019,2.457,,,2026-02-28T10:01:22.432972
